EpisodesSoFar,loss_vf_loss,loss_ent,EpRewMean,TimeElapsed,loss_kl,ev_tdlam_before,loss_pol_surr,EpLenMean,TimestepsSoFar,EpThisIter,loss_pol_entpen
318,0.015966428,1.5589147,-4.83,204.04840469360352,0.006276359,0.8407632410526276,-0.009602644,617.48,196608,8,0.0
325,0.013604002,1.5369121,-4.83,208.86587953567505,0.0063041234,0.8672666847705841,-0.01437376,608.71,200704,7,0.0
332,0.013579934,1.5316033,-4.83,213.7678735256195,0.0067940415,0.8572658747434616,-0.014225155,609.72,204800,7,0.0
338,0.011641338,1.527918,-4.83,218.2184796333313,0.00827883,0.8674235343933105,-0.013466666,611.32,208896,6,0.0
346,0.011605651,1.5240517,-4.82,222.66230869293213,0.005971931,0.855081707239151,-0.013754194,602.88,212992,8,0.0
352,0.01118169,1.4737087,-4.83,226.8490686416626,0.0066052848,0.8581658005714417,-0.014296252,608.81,217088,6,0.0
359,0.013077076,1.4571038,-4.84,231.57914519309998,0.0051685087,0.8168190866708755,-0.012927463,597.62,221184,7,0.0
365,0.013587635,1.440295,-4.85,236.68182039260864,0.007385479,0.8608363568782806,-0.012924228,598.22,225280,6,0.0
372,0.011161555,1.4420832,-4.88,241.64139676094055,0.005718115,0.8569398373365402,-0.012083771,596.88,229376,7,0.0
379,0.011025164,1.4486294,-4.88,246.04620623588562,0.006413054,0.8561135828495026,-0.014591722,599.27,233472,7,0.0
385,0.009265044,1.4158219,-4.9,250.78473019599915,0.007438259,0.8718207478523254,-0.01333808,595.67,237568,6,0.0
392,0.0095346235,1.4187832,-4.9,255.08069944381714,0.0067497846,0.8835447207093239,-0.012361445,598.23,241664,7,0.0
398,0.012865408,1.4233447,-4.88,258.62138962745667,0.0062579284,0.8286021202802658,-0.014057726,604.58,245760,6,0.0
404,0.011878902,1.4042368,-4.88,263.25994539260864,0.008284345,0.8410175889730453,-0.012497733,611.5,249856,6,0.0
